Date,AveragePrice,region,type
03-05-2019,17.8314734,May,Carbon Emission
04-05-2019,14.2791925,May,Carbon Emission
05-05-2019,10.2003332,May,Carbon Emission
06-05-2019,15.2835134,May,Carbon Emission
07-05-2019,16.6806448,May,Carbon Emission
08-05-2019,18.409011,May,Carbon Emission
09-05-2019,13.695285,May,Carbon Emission
10-05-2019,13.1050076,May,Carbon Emission
11-05-2019,10.3277312,May,Carbon Emission
12-05-2019,8.3849117,May,Carbon Emission
13-05-2019,13.100761,May,Carbon Emission
14-05-2019,13.5275443,May,Carbon Emission
15-05-2019,14.1539178,May,Carbon Emission
16-05-2019,13.631586,May,Carbon Emission
17-05-2019,13.5211744,May,Carbon Emission
18-05-2019,10.4169098,May,Carbon Emission
19-05-2019,8.4337476,May,Carbon Emission
20-05-2019,14.1815207,May,Carbon Emission
21-05-2019,14.6550166,May,Carbon Emission
22-05-2019,15.1094028,May,Carbon Emission
23-05-2019,15.28776,May,Carbon Emission
24-05-2019,14.8078942,May,Carbon Emission
25-05-2019,11.4934229,May,Carbon Emission
26-05-2019,8.875394,May,Carbon Emission
27-05-2019,11.1303386,May,Carbon Emission
28-05-2019,13.4872016,May,Carbon Emission
29-05-2019,13.0880212,May,Carbon Emission
30-05-2019,14.3641245,May,Carbon Emission
31-05-2019,13.2154192,May,Carbon Emission
01-06-2019,10.9286251,June,Carbon Emission
02-06-2019,7.8413469,June,Carbon Emission
03-06-2019,13.270625,June,Carbon Emission
04-06-2019,12.7865126,June,Carbon Emission
05-06-2019,13.037062,June,Carbon Emission
06-06-2019,12.8608281,June,Carbon Emission
07-06-2019,12.3384963,June,Carbon Emission
08-06-2019,9.661015,June,Carbon Emission
09-06-2019,7.707579,June,Carbon Emission
10-06-2019,12.6421282,June,Carbon Emission
11-06-2019,12.166509,June,Carbon Emission
12-06-2019,12.2004818,June,Carbon Emission
13-06-2019,12.1898653,June,Carbon Emission
14-06-2019,11.8119179,June,Carbon Emission
15-06-2019,9.6227956,June,Carbon Emission
16-06-2019,7.6544965,June,Carbon Emission
17-06-2019,11.848014,June,Carbon Emission
18-06-2019,12.3448662,June,Carbon Emission
19-06-2019,12.1537692,June,Carbon Emission
20-06-2019,12.2174682,June,Carbon Emission
