date,volume
2014-08-01,734634.0
2014-08-02,645397.0
2014-08-03,595869.0
2014-08-04,708082.0
2014-08-05,732439.0
2014-08-06,735995.0
2014-08-07,732982.0
2014-08-08,733882.0
2014-08-09,625089.0
2014-08-10,618904.0
2014-08-11,672281.0
2014-08-12,697871.0
2014-08-13,715095.0
2014-08-14,748962.0
2014-08-15,730319.0
2014-08-16,620805.0
2014-08-17,582468.0
2014-08-18,714627.0
2014-08-19,737360.0
2014-08-20,747799.0
2014-08-21,741553.0
2014-08-22,728738.0
2014-08-23,642949.0
2014-08-24,625368.0
2014-08-25,665660.0
2014-08-26,739620.0
2014-08-27,746138.0
2014-08-28,742498.0
2014-08-29,718846.0
2014-08-30,644443.0
2014-08-31,631718.0
2014-09-01,765845.0
2014-09-02,773357.0
2014-09-03,780708.0
2014-09-04,783150.0
2014-09-05,770266.0
2014-09-06,686232.0
2014-09-07,643799.0
2014-09-08,753460.0
2014-09-09,771791.0
2014-09-10,771841.0
2014-09-11,776185.0
2014-09-12,761517.0
2014-09-13,678094.0
2014-09-14,650209.0
2014-09-15,770216.0
2014-09-16,779746.0
2014-09-17,784351.0
2014-09-18,786880.0
2014-09-19,790303.0
2014-09-20,699501.0
2014-09-21,653769.0
2014-09-22,763730.0
2014-09-23,782194.0
2014-09-24,771373.0
2014-09-25,773415.0
2014-09-26,752686.0
2014-09-27,687683.0
2014-09-28,672601.0
2014-09-29,790126.0
2014-09-30,778386.0
2014-10-01,784852.0
2014-10-02,783448.0
2014-10-03,748072.0
2014-10-04,690467.0
2014-10-05,666336.0
2014-10-06,791024.0
2014-10-07,810597.0
2014-10-08,819117.0
2014-10-09,804239.0
2014-10-10,796256.0
2014-10-11,730407.0
2014-10-12,717992.0
2014-10-13,814326.0
2014-10-14,839200.0
2014-10-15,842890.0
2014-10-16,828387.0
2014-10-17,796823.0
2014-10-18,683267.0
2014-10-19,646229.0
2014-10-20,789204.0
2014-10-21,781187.0
2014-10-22,836011.0
2014-10-23,828483.0
2014-10-24,818884.0
2014-10-25,706596.0
2014-10-26,702164.0
2014-10-27,784838.0
2014-10-28,799072.0
2014-10-29,843487.0
2014-10-30,827199.0
2014-10-31,769003.0
2014-11-01,678344.0
2014-11-02,688104.0
2014-11-03,838192.0
2014-11-04,880040.0
2014-11-05,881627.0
2014-11-06,879273.0
2014-11-07,844232.0
2014-11-08,775424.0
2014-11-09,775965.0
2014-11-10,883237.0
2014-11-11,863498.0
2014-11-12,857633.0
2014-11-13,860981.0
2014-11-14,854699.0
2014-11-15,802903.0
2014-11-16,785867.0
2014-11-17,886601.0
2014-11-18,896345.0
2014-11-19,908306.0
